Alpha,Cl,Cd
-5.97,-0.689444,0.027537
-5.96,-0.688695,0.027491
-5.95,-0.687946,0.027445
-5.94,-0.687198,0.027399
-5.93,-0.686450,0.027353
-5.92,-0.685703,0.027307
-5.91,-0.684956,0.027262
-5.90,-0.684209,0.027217
-5.89,-0.683463,0.027172
-5.88,-0.682718,0.027128
-5.87,-0.681973,0.027083
-5.86,-0.681229,0.027039
-5.85,-0.680486,0.026996
-5.84,-0.679743,0.026952
-5.83,-0.679001,0.026909
-5.82,-0.678260,0.026866
-5.81,-0.677521,0.026823
-5.80,-0.676782,0.026780
-5.79,-0.676044,0.026738
-5.78,-0.675307,0.026696
-5.77,-0.674572,0.026654
-5.76,-0.673838,0.026613
-5.75,-0.673105,0.026571
-5.74,-0.672373,0.026530
-5.73,-0.671643,0.026490
-5.72,-0.670913,0.026449
-5.71,-0.670185,0.026409
-5.70,-0.669458,0.026369
-5.69,-0.668732,0.026329
-5.68,-0.668007,0.026290
-5.67,-0.667283,0.026250
-5.66,-0.666559,0.026211
-5.65,-0.665837,0.026172
-5.64,-0.665115,0.026134
-5.63,-0.664393,0.026096
-5.62,-0.663672,0.026058
-5.61,-0.662952,0.026020
-5.60,-0.662231,0.025982
-5.59,-0.661512,0.025945
-5.58,-0.660792,0.025908
-5.57,-0.660073,0.025871
-5.56,-0.659354,0.025835
-5.55,-0.658635,0.025799
-5.54,-0.657916,0.025763
-5.53,-0.657197,0.025727
-5.52,-0.656477,0.025691
-5.51,-0.655758,0.025656
-5.50,-0.655038,0.025621
-5.49,-0.654318,0.025586
-5.48,-0.653598,0.025552
-5.47,-0.652877,0.025517
-5.46,-0.652156,0.025483
-5.45,-0.651435,0.025450
-5.44,-0.650714,0.025416
-5.43,-0.649992,0.025383
-5.42,-0.649270,0.025350
-5.41,-0.648548,0.025317
-5.40,-0.647826,0.025284
-5.39,-0.647104,0.025252
-5.38,-0.646381,0.025220
-5.37,-0.645659,0.025188
-5.36,-0.644936,0.025156
-5.35,-0.644213,0.025125
-5.34,-0.643491,0.025093
-5.33,-0.642768,0.025062
-5.32,-0.642045,0.025032
-5.31,-0.641322,0.025001
-5.30,-0.640599,0.024971
-5.29,-0.639876,0.024941
-5.28,-0.639154,0.024911
-5.27,-0.638431,0.024881
-5.26,-0.637708,0.024852
-5.25,-0.636900,0.024820
-5.24,-0.636263,0.024793
-5.23,-0.635541,0.024765
-5.22,-0.634819,0.024736
-5.21,-0.634096,0.024708
-5.20,-0.633374,0.024679
-5.19,-0.632652,0.024651
-5.18,-0.631930,0.024624
-5.17,-0.631207,0.024596
-5.16,-0.630485,0.024569
-5.15,-0.629762,0.024542
-5.14,-0.629040,0.024515
-5.13,-0.628317,0.024488
-5.12,-0.627594,0.024462
-5.11,-0.626870,0.024436
-5.10,-0.626147,0.024410
-5.09,-0.625423,0.024384
-5.08,-0.624698,0.024358
-5.07,-0.623974,0.024333
-5.06,-0.623249,0.024308
-5.05,-0.622524,0.024283
-5.04,-0.621798,0.024259
-5.03,-0.621072,0.024234
-5.02,-0.620345,0.024210
-5.01,-0.619618,0.024186
-5.00,-0.619500,0.024130
-4.99,-0.618162,0.024139
-4.98,-0.617434,0.024116
-4.97,-0.616704,0.024093
-4.96,-0.615974,0.024071
-4.95,-0.615244,0.024048
-4.94,-0.614513,0.024026
-4.93,-0.613782,0.024004
-4.92,-0.613050,0.023982
-4.91,-0.612318,0.023961
-4.90,-0.611585,0.023939
-4.89,-0.610851,0.023918
-4.88,-0.610118,0.023898
-4.87,-0.609383,0.023877
-4.86,-0.608649,0.023857
-4.85,-0.607913,0.023836
-4.84,-0.607178,0.023816
-4.83,-0.606442,0.023797
-4.82,-0.605705,0.023777
-4.81,-0.604968,0.023758
-4.80,-0.604231,0.023739
-4.79,-0.603493,0.023720
-4.78,-0.602755,0.023701
-4.77,-0.602016,0.023683
-4.76,-0.601277,0.023664
-4.75,-0.600200,0.023670
-4.74,-0.599798,0.023628
-4.73,-0.599058,0.023611
-4.72,-0.598318,0.023593
-4.71,-0.597576,0.023576
-4.70,-0.596835,0.023559
-4.69,-0.596092,0.023542
-4.68,-0.595349,0.023526
-4.67,-0.594605,0.023509
-4.66,-0.593861,0.023493
-4.65,-0.593115,0.023477
-4.64,-0.592369,0.023461
-4.63,-0.591622,0.023446
-4.62,-0.590874,0.023430
-4.61,-0.590124,0.023415
-4.60,-0.589374,0.023401
-4.59,-0.588623,0.023386
-4.58,-0.587870,0.023372
-4.57,-0.587116,0.023357
-4.56,-0.586361,0.023344
-4.55,-0.585604,0.023330
-4.54,-0.584847,0.023317
-4.53,-0.584087,0.023303
-4.52,-0.583326,0.023290
-4.51,-0.582564,0.023278
-4.50,-0.581600,0.023270
-4.49,-0.581034,0.023253
-4.48,-0.580267,0.023241
-4.47,-0.579499,0.023229
-4.46,-0.578729,0.023218
-4.45,-0.577958,0.023207
-4.44,-0.577186,0.023195
-4.43,-0.576412,0.023185
-4.42,-0.575638,0.023174
-4.41,-0.574864,0.023163
-4.40,-0.574088,0.023153
-4.39,-0.573312,0.023143
-4.38,-0.572536,0.023133
-4.37,-0.571759,0.023123
-4.36,-0.570982,0.023114
-4.35,-0.570205,0.023104
-4.34,-0.569428,0.023095
-4.33,-0.568651,0.023086
-4.32,-0.567874,0.023077
-4.31,-0.567098,0.023068
-4.30,-0.566322,0.023059
-4.29,-0.565546,0.023050
-4.28,-0.564772,0.023042
-4.27,-0.563998,0.023033
-4.26,-0.563225,0.023025
-4.25,-0.562452,0.023017
-4.24,-0.561681,0.023008
-4.23,-0.560911,0.023000
-4.22,-0.560142,0.022992
-4.21,-0.559374,0.022984
-4.20,-0.558607,0.022976
-4.19,-0.557840,0.022969
-4.18,-0.557074,0.022961
-4.17,-0.556308,0.022953
-4.16,-0.555543,0.022946
-4.15,-0.554779,0.022939
-4.14,-0.554015,0.022931
-4.13,-0.553251,0.022924
-4.12,-0.552487,0.022917
-4.11,-0.551723,0.022910
-4.10,-0.550960,0.022904
-4.09,-0.550196,0.022897
-4.08,-0.549432,0.022891
-4.07,-0.548668,0.022885
-4.06,-0.547904,0.022878
-4.05,-0.547140,0.022872
-4.04,-0.546375,0.022867
-4.03,-0.545609,0.022861
-4.02,-0.544843,0.022856
-4.01,-0.544077,0.022850
-4.00,-0.543100,0.022850
-3.99,-0.542541,0.022840
-3.98,-0.541773,0.022836
-3.97,-0.541003,0.022831
-3.96,-0.540232,0.022827
-3.95,-0.539461,0.022822
-3.94,-0.538689,0.022818
-3.93,-0.537915,0.022815
-3.92,-0.537141,0.022811
-3.91,-0.536366,0.022808
-3.90,-0.535590,0.022804
-3.89,-0.534812,0.022801
-3.88,-0.534034,0.022798
-3.87,-0.533255,0.022795
-3.86,-0.532474,0.022793
-3.85,-0.531693,0.022790
-3.84,-0.530910,0.022788
-3.83,-0.530126,0.022786
-3.82,-0.529341,0.022784
-3.81,-0.528555,0.022783
-3.80,-0.527767,0.022781
-3.79,-0.526978,0.022780
-3.78,-0.526188,0.022779
-3.77,-0.525396,0.022778
-3.76,-0.524604,0.022777
-3.75,-0.523810,0.022776
-3.74,-0.523014,0.022776
-3.73,-0.522217,0.022775
-3.72,-0.521418,0.022775
-3.71,-0.520618,0.022775
-3.70,-0.519816,0.022776
-3.69,-0.519011,0.022776
-3.68,-0.518205,0.022777
-3.67,-0.517397,0.022778
-3.66,-0.516586,0.022779
-3.65,-0.515773,0.022780
-3.64,-0.514958,0.022781
-3.63,-0.514140,0.022783
-3.62,-0.513319,0.022784
-3.61,-0.512495,0.022786
-3.60,-0.511669,0.022789
-3.59,-0.510839,0.022791
-3.58,-0.510006,0.022794
-3.57,-0.509171,0.022796
-3.56,-0.508331,0.022799
-3.55,-0.507489,0.022803
-3.54,-0.506642,0.022806
-3.53,-0.505792,0.022810
-3.52,-0.504938,0.022814
-3.51,-0.504081,0.022818
-3.50,-0.503219,0.022822
-3.49,-0.502353,0.022826
-3.48,-0.501483,0.022831
-3.47,-0.500608,0.022836
-3.46,-0.499729,0.022841
-3.45,-0.498845,0.022847
-3.44,-0.497955,0.022852
-3.43,-0.497061,0.022858
-3.42,-0.496160,0.022864
-3.41,-0.495255,0.022871
-3.40,-0.494343,0.022877
-3.39,-0.493425,0.022884
-3.38,-0.492501,0.022891
-3.37,-0.491570,0.022899
-3.36,-0.490633,0.022906
-3.35,-0.489688,0.022914
-3.34,-0.488737,0.022922
-3.33,-0.487778,0.022930
-3.32,-0.486812,0.022939
-3.31,-0.485839,0.022948
-3.30,-0.484857,0.022957
-3.29,-0.483867,0.022966
-3.28,-0.482869,0.022976
-3.27,-0.481863,0.022985
-3.26,-0.480848,0.022995
-3.25,-0.479824,0.023006
-3.24,-0.478791,0.023016
-3.23,-0.477748,0.023027
-3.22,-0.476695,0.023038
-3.21,-0.475632,0.023050
-3.20,-0.474557,0.023061
-3.19,-0.473470,0.023073
-3.18,-0.472371,0.023085
-3.17,-0.471259,0.023098
-3.16,-0.470134,0.023111
-3.15,-0.468994,0.023124
-3.14,-0.467840,0.023137
-3.13,-0.466671,0.023151
-3.12,-0.465486,0.023165
-3.11,-0.464285,0.023179
-3.10,-0.463067,0.023194
-3.09,-0.461832,0.023209
-3.08,-0.460579,0.023224
-3.07,-0.459307,0.023239
-3.06,-0.458017,0.023255
-3.05,-0.456706,0.023271
-3.04,-0.455376,0.023288
-3.03,-0.454025,0.023305
-3.02,-0.452653,0.023322
-3.01,-0.451259,0.023339
-3.00,-0.449843,0.023357
-2.99,-0.448404,0.023375
-2.98,-0.446941,0.023394
-2.97,-0.445456,0.023413
-2.96,-0.443946,0.023432
-2.95,-0.442412,0.023451
-2.94,-0.440854,0.023471
-2.93,-0.439271,0.023491
-2.92,-0.437663,0.023511
-2.91,-0.436029,0.023531
-2.90,-0.434370,0.023552
-2.89,-0.432684,0.023573
-2.88,-0.430972,0.023593
-2.87,-0.429234,0.023615
-2.86,-0.427468,0.023636
-2.85,-0.425675,0.023657
-2.84,-0.423855,0.023679
-2.83,-0.422006,0.023700
-2.82,-0.420129,0.023722
-2.81,-0.418224,0.023744
-2.80,-0.416289,0.023765
-2.79,-0.414325,0.023787
-2.78,-0.412332,0.023809
-2.77,-0.410309,0.023831
-2.76,-0.408255,0.023853
-2.75,-0.406171,0.023874
-2.74,-0.404057,0.023896
-2.73,-0.401911,0.023918
-2.72,-0.399736,0.023939
-2.71,-0.397531,0.023961
-2.70,-0.395297,0.023982
-2.69,-0.393035,0.024004
-2.68,-0.390744,0.024025
-2.67,-0.388425,0.024046
-2.66,-0.386078,0.024067
-2.65,-0.383705,0.024088
-2.64,-0.381305,0.024109
-2.63,-0.378878,0.024129
-2.62,-0.376426,0.024150
-2.61,-0.373949,0.024170
-2.60,-0.371446,0.024190
-2.59,-0.368919,0.024210
-2.58,-0.366368,0.024229
-2.57,-0.363793,0.024249
-2.56,-0.361195,0.024268
-2.55,-0.358575,0.024286
-2.54,-0.355931,0.024305
-2.53,-0.353266,0.024323
-2.52,-0.350579,0.024341
-2.51,-0.347871,0.024359
-2.50,-0.345143,0.024377
-2.49,-0.342394,0.024394
-2.48,-0.339625,0.024411
-2.47,-0.336835,0.024427
-2.46,-0.334025,0.024443
-2.45,-0.331195,0.024459
-2.44,-0.328344,0.024474
-2.43,-0.325473,0.024489
-2.42,-0.322582,0.024504
-2.41,-0.319671,0.024518
-2.40,-0.316739,0.024531
-2.39,-0.313787,0.024545
-2.38,-0.310814,0.024557
-2.37,-0.307821,0.024570
-2.36,-0.304808,0.024581
-2.35,-0.301774,0.024592
-2.34,-0.298720,0.024603
-2.33,-0.295645,0.024613
-2.32,-0.292550,0.024623
-2.31,-0.289435,0.024632
-2.30,-0.286299,0.024640
-2.29,-0.283143,0.024648
-2.28,-0.279967,0.024655
-2.27,-0.276770,0.024662
-2.26,-0.273552,0.024668
-2.25,-0.270314,0.024673
-2.24,-0.267056,0.024677
-2.23,-0.263778,0.024681
-2.22,-0.260481,0.024684
-2.21,-0.257165,0.024687
-2.20,-0.253831,0.024689
-2.19,-0.250479,0.024690
-2.18,-0.247111,0.024690
-2.17,-0.243726,0.024690
-2.16,-0.240326,0.024689
-2.15,-0.236910,0.024687
-2.14,-0.233481,0.024684
-2.13,-0.230037,0.024681
-2.12,-0.226580,0.024677
-2.11,-0.223110,0.024672
-2.10,-0.219628,0.024666
-2.09,-0.216135,0.024660
-2.08,-0.212631,0.024653
-2.07,-0.209116,0.024645
-2.06,-0.205592,0.024636
-2.05,-0.202059,0.024626
-2.04,-0.198517,0.024616
-2.03,-0.194967,0.024605
-2.02,-0.191410,0.024593
-2.01,-0.187846,0.024580
-2.00,-0.182900,0.024640
-1.99,-0.180701,0.024552
-1.98,-0.177122,0.024536
-1.97,-0.173540,0.024520
-1.96,-0.169958,0.024503
-1.95,-0.166377,0.024485
-1.94,-0.162798,0.024467
-1.93,-0.159223,0.024447
-1.92,-0.155654,0.024427
-1.91,-0.152093,0.024407
-1.90,-0.148540,0.024385
-1.89,-0.144998,0.024363
-1.88,-0.141468,0.024340
-1.87,-0.137952,0.024317
-1.86,-0.134451,0.024293
-1.85,-0.130968,0.024268
-1.84,-0.127502,0.024243
-1.83,-0.124058,0.024217
-1.82,-0.120634,0.024191
-1.81,-0.117235,0.024164
-1.80,-0.113860,0.024136
-1.79,-0.110512,0.024108
-1.78,-0.107193,0.024080
-1.77,-0.103903,0.024051
-1.76,-0.100644,0.024022
-1.75,-0.097419,0.023992
-1.74,-0.094228,0.023962
-1.73,-0.091072,0.023931
-1.72,-0.087952,0.023900
-1.71,-0.084867,0.023869
-1.70,-0.081818,0.023837
-1.69,-0.078805,0.023805
-1.68,-0.075828,0.023773
-1.67,-0.072888,0.023740
-1.66,-0.069985,0.023707
-1.65,-0.067119,0.023674
-1.64,-0.064291,0.023641
-1.63,-0.061500,0.023607
-1.62,-0.058748,0.023573
-1.61,-0.056034,0.023539
-1.60,-0.053359,0.023505
-1.59,-0.050722,0.023471
-1.58,-0.048125,0.023436
-1.57,-0.045568,0.023402
-1.56,-0.043050,0.023367
-1.55,-0.040572,0.023333
-1.54,-0.038135,0.023298
-1.53,-0.035738,0.023263
-1.52,-0.033383,0.023228
-1.51,-0.031068,0.023194
-1.50,-0.022300,0.023120
-1.49,-0.026564,0.023124
-1.48,-0.024374,0.023090
-1.47,-0.022227,0.023055
-1.46,-0.020120,0.023021
-1.45,-0.018055,0.022986
-1.44,-0.016032,0.022952
-1.43,-0.014050,0.022918
-1.42,-0.012109,0.022884
-1.41,-0.010209,0.022850
